王晴	4	5578
王昊	4	5539
王文娟	4	5511
张磊	4	2941
赵常煜	4	7180
王静	4	5840
宋敏	4	2203
兰国帅	4	612
李颖	4	4233
朱相丽	4	3632
万昊	4	176
凡庆涛	4	699
曾德超	4	3517
张仁琼	4	2553
刘冬潇	4	759
郭雪梅	4	7729
张新平	4	2787
高东平	4	8526
徐桂珍	4	3220
王洪江	4	5630
江珊	4	4913
李继红	4	4123
马建霞	4	8433
董克	4	6619
李林	4	3989
戴文浩	4	3326
卢超	4	1240
侯元元	4	525
饶武元	4	8394
郭继荣	3	7710
任全娥	3	340
王宗水	3	5395
刘太芳	3	806
刘雪梅	3	1146
索传军	3	6164
盖双双	3	5968
魏琦	3	8663
王岩	3	5421
滕广青	3	5074
何晓庆	3	433
王圣洁	3	5349
张丽华	3	2527
逯万辉	3	7356
张发明	3	2618
周瑛	3	1668
杨文涛	3	4408
尤瑜	3	2302
汪雪锋	3	4986
林媛	3	4570
周群	3	1677
马峥	3	8429
高健	3	8537
汪莉	3	4983
刘洢颖	3	976
李宁	3	3813
徐路路	3	3273
黄颖	3	8836
韩霞	3	8356
李亮	3	3694
周秋菊	3	1672
李延平	3	3852
张茂聪	3	3020
朱晶晶	3	3613
孙波	3	2019
刘智勇	3	940
陈云伟	3	7909
田倩飞	3	5880
苏福	3	6515
杨丽	3	4304
张彤彤	3	2740
申东阳	3	5921
袁庆	3	6800
段庆锋	3	4821
潘小换	3	5094
李星	3	3939
张家年	3	2683
郎林芳	3	7496
林春培	3	4585
刘佳	3	736
王京安	3	5253
王坤	3	5352
王光明	3	5289
徐敏	3	3199
陈风华	3	8207
李莉	3	4159
田稷	3	5908
余敏杰	3	491
贺文凯	3	7050
陈辉	3	8174
毕强	3	4850
李梅	3	3996
刘春宇	3	916
潘玲	3	5109
王立娜	3	5721
瞿佳	3	5981
张婷婷	3	2654
赵庆华	3	7181
孟照刚	3	2123
邓三鸿	3	7358
张丹	3	2525
刘文浩	3	902
陈辰	3	8175
郝晓雪	3	7602
王卫	3	5326
宋海玲	3	2218
余兴发	3	479
李宗富	3	3821
胡红珍	3	6444
丁四清	3	134
徐宏宇	3	3181
马倩	3	8407
赖志杰	3	7113
张新玲	3	2790
刘敏	3	896
周蕾	3	1696
李岩	3	3838
席宁	3	2419
吴凤芝	3	1409
王心妍	3	5460
毛红芳	3	4884
王宁	3	5381
高彦静	3	8559
陈道兰	3	8179
吴葱葱	3	1533
李萍	3	4165
陈霄	3	8198
黎香兰	3	8849
刘锋	3	1133
